./client_with_asio/client_with_asio 2359 120.26.200.117 12333 500 2>/dev/null

10:51.54 80:1	77:1	79:1	68:1	78:1	75:1	73:1	77:1	78:1	72:1	max:80 avrg10:75
10:51.54 164:3	122:1	97:1	72:1	73:2	74:2	76:1	70:1	74:1	75:1	max:164 avrg10:89
10:51.55 70:1	77:2	70:1	68:1	73:2	73:1	75:1	73:1	73:1	67:1	max:77 avrg10:71
10:51.55 66:1	71:2	70:2	72:1	71:1	73:1	68:1	73:1	73:1	77:1	max:77 avrg10:71
10:51.56 72:1	76:1	72:1	72:1	72:1	71:1	78:1	70:1	70:1	70:1	max:78 avrg10:72 max100:235 avrg100:82 avrgall:95
10:51.56 69:1	75:2	74:2	76:1	73:1	74:1	74:1	68:1	74:1	66:1	max:76 avrg10:72 ext_packet_snd:242% ext_size_snd:144%
10:51.57 73:2	75:2	71:1	70:1	71:1	75:1	76:1	76:1	69:1	73:1	max:76 avrg10:72
10:51.58 72:1	74:2	88:2	139:2	89:1	73:1	70:1	71:1	109:2	99:2	max:139 avrg10:88
10:51.58 68:1	69:1	75:1	69:1	71:1	75:1	73:1	75:1	88:2	68:1	max:88 avrg10:73
10:51.59 111:2	102:2	157:3	128:1	77:1	68:1	73:1	71:1	78:1	72:1	max:157 avrg10:93
10:51.59 84:2	72:1	66:1	71:1	73:1	79:1	74:1	70:1	71:1	69:1	max:84 avrg10:72
10:52.0 76:1	76:1	77:1	87:2	83:2	69:1	73:1	69:1	69:1	155:3	max:155 avrg10:83
10:52.0 126:1	94:1	153:3	158:2	107:2	73:1	74:1	71:1	71:1	74:1	max:158 avrg10:100
10:52.1 75:1	73:1	81:1	67:1	73:1	72:1	78:1	73:1	73:1	72:1	max:81 avrg10:73
10:52.1 71:1	66:1	72:1	66:1	68:2	68:1	67:1	67:1	71:1	70:2	max:72 avrg10:68 max100:158 avrg100:79 avrgall:94
10:52.2 75:2	70:2	75:1	76:1	79:1	71:1	69:1	69:1	72:1	68:1	max:79 avrg10:72 ext_packet_snd:242% ext_size_snd:144%
10:52.2 73:1	74:2	76:1	73:1	73:1	68:1	72:1	72:1	76:1	71:1	max:76 avrg10:72
10:52.3 71:1	70:1	72:1	75:1	98:2	75:2	73:1	68:1	68:1	67:1	max:98 avrg10:73 9.8KB/s(in)
10:52.3 72:1	72:2	72:1	72:1	67:1	72:1	67:1	74:2	71:1	80:1	max:80 avrg10:71
10:52.4 70:2	74:1	75:1	70:1	74:1	68:1	73:1	72:1	73:1	67:1	max:75 avrg10:71
10:52.4 73:1	76:1	75:1	78:1	71:1	72:1	71:1	72:1	71:1	70:1	max:78 avrg10:72
10:52.5 71:2	82:2	69:1	70:1	74:1	77:2	74:1	75:1	76:1	68:1	max:82 avrg10:73
10:52.5 75:1	69:2	72:1	71:1	82:2	71:1	69:1	74:1	74:1	74:1	max:82 avrg10:73
10:52.6 67:1	74:1	72:1	75:2	72:1	72:2	67:1	77:2	72:1	81:2	max:81 avrg10:72
10:52.6 77:1	99:2	74:1	75:1	86:1	73:1	78:1	102:2	78:1	70:1	max:102 avrg10:81 max100:102 avrg100:73 avrgall:93
10:52.7 76:1	75:1	80:1	72:1	76:1	74:1	69:1	88:2	76:1	70:1	max:88 avrg10:75 ext_packet_snd:241% ext_size_snd:143%
10:52.7 81:1	74:1	74:1	73:1	68:1	75:1	72:1	88:2	87:2	100:2	max:100 avrg10:79
10:52.8 83:1	82:1	87:1	75:1	105:2	119:2	80:0	187:4	182:1	139:1	max:187 avrg10:113
10:52.8 104:1	78:1	74:1	77:1	75:1	74:1	70:1	67:1	71:1	72:1	max:104 avrg10:76
10:52.9 149:3	123:2	95:2	72:1	77:1	75:1	74:1	80:1	70:1	76:1	max:149 avrg10:89
10:52.9 77:1	68:1	78:1	72:1	73:1	72:1	73:1	68:1	68:1	72:1	max:78 avrg10:72
10:52.10 76:2	76:2	71:1	91:2	107:2	86:1	112:2	70:1	83:0	71:1	max:112 avrg10:84
10:52.10 73:1	76:1	79:1	73:1	74:1	68:1	76:1	71:1	72:1	77:1	max:79 avrg10:73
10:52.11 80:1	71:1	96:2	76:1	72:1	72:1	70:1	71:1	76:1	73:1	max:96 avrg10:75
10:52.11 73:1	68:1	74:1	74:1	68:1	69:1	72:1	73:1	68:1	68:1	max:74 avrg10:70 max100:187 avrg100:81 avrgall:92
